"","anomaly","anomaly_higheropttemp","anomaly_loweropttemp"
"1",2.90359659967952,1.90359659967952,3.90359659967952
"2",2.8407645163589,1.8407645163589,3.8407645163589
"3",2.47099196558528,1.47099196558528,3.47099196558528
"4",2.70257311292224,1.70257311292224,3.70257311292224
"5",2.39711313057476,1.39711313057476,3.39711313057476
"6",2.15062294216686,1.15062294216686,3.15062294216686
"7",1.79868838348918,0.798688383489182,2.79868838348918
"8",1.5481106329494,0.548110632949403,2.5481106329494
"9",1.68561027889781,0.685610278897812,2.68561027889781
"10",2.02986898942523,1.02986898942523,3.02986898942523
"11",2.89801257072025,1.89801257072025,3.89801257072025
"12",3.3376114739471,2.3376114739471,4.3376114739471
"13",3.10586564751201,2.10586564751201,4.10586564751201
"14",2.71122051644855,1.71122051644855,3.71122051644855
"15",2.16036173210674,1.16036173210674,3.16036173210674
"16",1.49731965923839,0.497319659238389,2.49731965923839
"17",0.991390694814257,-0.00860930518574321,1.99139069481426
"18",0.865154132895999,-0.134845867104001,1.865154132896
"19",0.0843725629382632,-0.915627437061737,1.08437256293826
"20",0.00125401020579829,-0.998745989794202,1.0012540102058
"21",0.707321898513367,-0.292678101486633,1.70732189851337
"22",1.32088022466235,0.320880224662353,2.32088022466235
"23",2.13991884236865,1.13991884236865,3.13991884236865
"24",2.63348809738689,1.63348809738689,3.63348809738689
"25",2.50170185909801,1.50170185909801,3.50170185909801
"26",2.16890712628894,1.16890712628894,3.16890712628894
"27",2.1278919383102,1.1278919383102,3.1278919383102
"28",1.99232698469692,0.992326984696916,2.99232698469692
"29",1.46910182524257,0.469101825242571,2.46910182524257
"30",1.41831817780071,0.418318177800707,2.41831817780071
"31",1.31033371782832,0.310333717828325,2.31033371782832
"32",1.37362295408779,0.373622954087786,2.37362295408779
"33",1.64441127162509,0.644411271625092,2.64441127162509
"34",1.90081257644229,0.900812576442291,2.90081257644229
"35",2.32571708875232,1.32571708875232,3.32571708875232
"36",2.83424263530307,1.83424263530307,3.83424263530307
"37",3.08237649179035,2.08237649179035,4.08237649179035
"38",3.94722971101337,2.94722971101337,4.94722971101337
"39",4.00196117754512,3.00196117754512,5.00196117754512
"40",3.95187052832179,2.95187052832179,4.95187052832179
"41",4.10599384728008,3.10599384728008,5.10599384728008
"42",3.44108291583591,2.44108291583591,4.44108291583591
"43",2.92307256889873,1.92307256889873,3.92307256889873
"44",2.18942386131816,1.18942386131816,3.18942386131816
"45",2.69200636768871,1.69200636768871,3.69200636768871
"46",3.05488885179096,2.05488885179096,4.05488885179096
"47",2.58528313885265,1.58528313885265,3.58528313885265
"48",3.01645900860363,2.01645900860363,4.01645900860363
"49",3.43332668901019,2.43332668901019,4.43332668901019
"50",3.84841819882923,2.84841819882923,4.84841819882923
"51",4.68047514911228,3.68047514911228,5.68047514911228
"52",4.96737617898517,3.96737617898517,5.96737617898517
"53",4.08245176392131,3.08245176392131,5.08245176392131
"54",4.04711108532481,3.04711108532481,5.04711108532481
"55",3.59547978029781,2.59547978029781,4.59547978029781
"56",3.68802076955371,2.68802076955371,4.68802076955371
"57",3.44032498684459,2.44032498684459,4.44032498684459
"58",3.426474749332,2.426474749332,4.426474749332
"59",3.21684568715625,2.21684568715625,4.21684568715625
"60",3.39766705318027,2.39766705318027,4.39766705318027
"61",3.66534623933368,2.66534623933368,4.66534623933368
"62",4.27195612683826,3.27195612683826,5.27195612683826
"63",4.54815389314228,3.54815389314228,5.54815389314228
"64",4.92165799251132,3.92165799251132,5.92165799251132
"65",4.4823075741344,3.4823075741344,5.4823075741344
"66",4.61961338458591,3.61961338458591,5.61961338458591
"67",4.95008192697101,3.95008192697101,5.95008192697101
"68",4.85350785346561,3.85350785346561,5.85350785346561
"69",4.23967349353366,3.23967349353366,5.23967349353366
"70",3.36761439967685,2.36761439967685,4.36761439967685
"71",2.91092388654285,1.91092388654285,3.91092388654285
"72",2.7029985297256,1.7029985297256,3.7029985297256
"73",3.13619193063312,2.13619193063312,4.13619193063312
"74",3.73560058112674,2.73560058112674,4.73560058112674
"75",4.05472660832935,3.05472660832935,5.05472660832935
"76",4.34907134886318,3.34907134886318,5.34907134886318
"77",3.46398533783488,2.46398533783488,4.46398533783488
"78",3.59800318813854,2.59800318813854,4.59800318813854
"79",2.95057843142085,1.95057843142085,3.95057843142085
"80",2.58831671453052,1.58831671453052,3.58831671453052
